Image file-/home/jovyan/data/cifar10/0_cat.png;  Answer: Elephant
Image file-/home/jovyan/data/cifar10/1074_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1075_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1076_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1077_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1078_airplane.png;  Answer: Airplane
Image file-/home/jovyan/data/cifar10/1079_frog.png;  Answer: Toad
Image file-/home/jovyan/data/cifar10/107_frog.png;  Answer: Tree
Image file-/home/jovyan/data/cifar10/1080_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1081_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1082_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1083_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1084_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1085_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1086_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1087_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1088_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1089_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/108_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1090_airplane.png;  Answer: boat
Image file-/home/jovyan/data/cifar10/1091_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1092_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1093_airplane.png;  Answer: Airplane
Image file-/home/jovyan/data/cifar10/1094_frog.png;  Answer: toad
Image file-/home/jovyan/data/cifar10/1095_bird.png;  Answer: Rock
Image file-/home/jovyan/data/cifar10/1096_horse.png;  Answer: horse
Image file-/home/jovyan/data/cifar10/1097_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1098_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1099_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/109_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/10_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1100_horse.png;  Answer: horse
Image file-/home/jovyan/data/cifar10/1101_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1102_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1103_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1104_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1105_deer.png;  Answer: Goat
Image file-/home/jovyan/data/cifar10/1106_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1107_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1108_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1109_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/110_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1110_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1111_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1112_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1113_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1114_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1115_automobile.png;  Answer: Tree
Image file-/home/jovyan/data/cifar10/1116_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1117_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1118_deer.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1119_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/111_airplane.png;  Answer: plane
Image file-/home/jovyan/data/cifar10/1120_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1121_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1122_ship.png;  Answer: ship
Image file-/home/jovyan/data/cifar10/1123_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1124_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1125_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1126_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1127_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1128_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1129_cat.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/112_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1130_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1131_automobile.png;  Answer: car
Image file-/home/jovyan/data/cifar10/1132_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1133_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1134_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1135_frog.png;  Answer: Mouse
Image file-/home/jovyan/data/cifar10/1136_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1137_airplane.png;  Answer: Shoes
Image file-/home/jovyan/data/cifar10/1138_dog.png;  Answer: Bowl
Image file-/home/jovyan/data/cifar10/1139_ship.png;  Answer: ship
Image file-/home/jovyan/data/cifar10/113_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1140_frog.png;  Answer: rabbit
Image file-/home/jovyan/data/cifar10/1141_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1142_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1143_frog.png;  Answer: none
Image file-/home/jovyan/data/cifar10/1144_automobile.png;  Answer: car
Image file-/home/jovyan/data/cifar10/1145_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1146_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1147_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1148_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1149_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/114_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1150_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1151_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1152_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1153_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1154_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1155_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1156_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1157_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1158_automobile.png;  Answer: Tree
Image file-/home/jovyan/data/cifar10/1159_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/115_cat.png;  Answer: cat
Image file-/home/jovyan/data/cifar10/1160_ship.png;  Answer: Yacht
Image file-/home/jovyan/data/cifar10/1161_airplane.png;  Answer: plane
Image file-/home/jovyan/data/cifar10/1162_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1163_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1164_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1165_airplane.png;  Answer: Airplane
Image file-/home/jovyan/data/cifar10/1166_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1167_deer.png;  Answer: Bear
Image file-/home/jovyan/data/cifar10/1168_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1169_horse.png;  Answer: none
Image file-/home/jovyan/data/cifar10/116_airplane.png;  Answer: plane
Image file-/home/jovyan/data/cifar10/1170_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1171_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1172_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1173_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1174_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1175_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1176_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1177_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1178_frog.png;  Answer: frog
Image file-/home/jovyan/data/cifar10/1179_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/117_deer.png;  Answer: moose head
Image file-/home/jovyan/data/cifar10/1180_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1181_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1182_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1183_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1184_frog.png;  Answer: Lizard
Image file-/home/jovyan/data/cifar10/1185_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1186_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1187_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1188_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1189_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/118_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1190_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1191_automobile.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1192_frog.png;  Answer: groundhog
Image file-/home/jovyan/data/cifar10/1193_dog.png;  Answer: Goat
Image file-/home/jovyan/data/cifar10/1194_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1195_frog.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1196_bird.png;  Answer: Flamingo
Image file-/home/jovyan/data/cifar10/1197_airplane.png;  Answer: chair
Image file-/home/jovyan/data/cifar10/1198_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1199_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/119_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/11_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1200_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1201_horse.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1202_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1203_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1204_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1205_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1206_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1207_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1208_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1209_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/120_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1210_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1211_frog.png;  Answer: Candy
Image file-/home/jovyan/data/cifar10/1212_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1213_ship.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1214_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1215_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1216_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1217_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1218_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1219_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/121_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1220_truck.png;  Answer: Train
Image file-/home/jovyan/data/cifar10/1221_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1222_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1223_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1224_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1225_frog.png;  Answer: toad
Image file-/home/jovyan/data/cifar10/1226_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1227_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1228_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1229_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/122_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1230_dog.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/1231_truck.png;  Answer: Fire truck
Image file-/home/jovyan/data/cifar10/1232_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1233_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1234_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1235_dog.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/1236_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1237_airplane.png;  Answer: Staircase
Image file-/home/jovyan/data/cifar10/1238_automobile.png;  Answer: Taxi
Image file-/home/jovyan/data/cifar10/1239_dog.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/123_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1240_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1241_airplane.png;  Answer: tower
Image file-/home/jovyan/data/cifar10/1242_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1243_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1244_dog.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/1245_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1246_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1247_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1248_bird.png;  Answer: ball
Image file-/home/jovyan/data/cifar10/1249_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/124_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1250_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1251_bird.png;  Answer: Parrot
Image file-/home/jovyan/data/cifar10/1252_dog.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/1253_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1254_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1255_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1256_truck.png;  Answer: Trailer
Image file-/home/jovyan/data/cifar10/1257_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1258_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1259_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/125_airplane.png;  Answer: Spaceship
Image file-/home/jovyan/data/cifar10/1260_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1261_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1262_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1263_ship.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1264_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1265_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1266_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1267_deer.png;  Answer: Bison
Image file-/home/jovyan/data/cifar10/1268_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1269_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/126_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1270_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1271_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1272_deer.png;  Answer: Moose
Image file-/home/jovyan/data/cifar10/1273_frog.png;  Answer: frog
Image file-/home/jovyan/data/cifar10/1274_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1275_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1276_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1277_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1278_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1279_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/127_cat.png;  Answer: Wolf
Image file-/home/jovyan/data/cifar10/1280_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1281_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1282_truck.png;  Answer: Train
Image file-/home/jovyan/data/cifar10/1283_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1284_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1285_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1286_ship.png;  Answer: Bathub
Image file-/home/jovyan/data/cifar10/1287_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1288_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1289_frog.png;  Answer: frog
Image file-/home/jovyan/data/cifar10/128_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1290_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1291_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1292_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1293_deer.png;  Answer: Fawn
Image file-/home/jovyan/data/cifar10/1294_ship.png;  Answer: airship
Image file-/home/jovyan/data/cifar10/1295_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1296_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1297_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1298_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1299_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/129_bird.png;  Answer: Tree
Image file-/home/jovyan/data/cifar10/12_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1300_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1301_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1302_frog.png;  Answer: mouse
Image file-/home/jovyan/data/cifar10/1303_deer.png;  Answer: Fawn
Image file-/home/jovyan/data/cifar10/1304_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1305_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1306_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1307_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1308_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1309_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/130_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1310_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1311_ship.png;  Answer: ship
Image file-/home/jovyan/data/cifar10/1312_frog.png;  Answer: Toad
Image file-/home/jovyan/data/cifar10/1313_automobile.png;  Answer: Van
Image file-/home/jovyan/data/cifar10/1314_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1315_deer.png;  Answer: Statue
Image file-/home/jovyan/data/cifar10/1316_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1317_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1318_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1319_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/131_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1320_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1321_bird.png;  Answer: Parrot
Image file-/home/jovyan/data/cifar10/1322_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1323_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1324_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1325_bird.png;  Answer: Chicken
Image file-/home/jovyan/data/cifar10/1326_frog.png;  Answer: Lizard
Image file-/home/jovyan/data/cifar10/1327_frog.png;  Answer: toad
Image file-/home/jovyan/data/cifar10/1328_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1329_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/132_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1330_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1331_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1332_automobile.png;  Answer: Cars
Image file-/home/jovyan/data/cifar10/1333_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1334_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1335_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1336_deer.png;  Answer: Fawn
Image file-/home/jovyan/data/cifar10/1337_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1338_frog.png;  Answer: squirrel
Image file-/home/jovyan/data/cifar10/1339_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/133_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1340_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1341_deer.png;  Answer: person
Image file-/home/jovyan/data/cifar10/1342_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1343_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1344_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1345_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1346_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1347_ship.png;  Answer: Jet Ski
Image file-/home/jovyan/data/cifar10/1348_bird.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1349_ship.png;  Answer: Ship
