Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/002_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/039_applauding.jpg; Answer: Joyful and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/040_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/041_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/042_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/043_applauding.jpg; Answer: Disappointed
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/044_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/045_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/046_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/047_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/048_applauding.jpg; Answer: Excitement and Celebration
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/049_applauding.jpg; Answer: Festive
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/050_applauding.jpg; Answer: Thoughtful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/051_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/052_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/053_applauding.jpg; Answer: Excitement and Celebration
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/054_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/055_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/056_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/057_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/058_applauding.jpg; Answer: Triumph and Joy
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/059_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/060_applauding.jpg; Answer: Disappointed
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/061_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/062_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/063_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/064_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/065_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/066_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/067_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/068_applauding.jpg; Answer: Camaraderie
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/069_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/070_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/071_applauding.jpg; Answer: Cheerful and Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/072_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/073_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/074_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/075_applauding.jpg; Answer: Triumphant
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/076_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/077_applauding.jpg; Answer: Serious
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/078_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/079_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/080_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/081_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/082_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/083_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/084_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/085_applauding.jpg; Answer: Lively and Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/086_applauding.jpg; Answer: Festive and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/087_applauding.jpg; Answer: Confident
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/088_applauding.jpg; Answer: Prideful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/089_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/090_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/091_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/092_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/093_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/094_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/095_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/096_applauding.jpg; Answer: Respectful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/097_applauding.jpg; Answer: Relaxed
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/098_applauding.jpg; Answer: Reflective
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/099_applauding.jpg; Answer: Playful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/100_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/101_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/102_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/103_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/104_applauding.jpg; Answer: Serious
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/105_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/106_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/107_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/108_applauding.jpg; Answer: Festive and Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/109_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/110_applauding.jpg; Answer: Introspective
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/111_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/112_applauding.jpg; Answer: Tense
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/113_applauding.jpg; Answer: Festive
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/114_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/115_applauding.jpg; Answer: Determined
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/116_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/117_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/118_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/119_applauding.jpg; Answer: Reverent
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/120_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/121_applauding.jpg; Answer: Happy
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/122_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/123_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/124_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/125_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/126_applauding.jpg; Answer: Contemplative
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/127_applauding.jpg; Answer: Playful and Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/128_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/129_applauding.jpg; Answer: Serious
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/130_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/131_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/132_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/133_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/134_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/135_applauding.jpg; Answer: Determined
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/136_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/137_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/138_applauding.jpg; Answer: Playful and Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/139_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/140_applauding.jpg; Answer: Lighthearted and Fun
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/141_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/142_applauding.jpg; Answer: Serious
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/143_applauding.jpg; Answer: Serious
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/144_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/145_applauding.jpg; Answer: Joyful and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/146_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/147_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/148_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/149_applauding.jpg; Answer: Peaceful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/150_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/151_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/152_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/153_applauding.jpg; Answer: Contemplative
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/154_applauding.jpg; Answer: Festive and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/155_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/156_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/157_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/158_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/159_applauding.jpg; Answer: Uplifting
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/160_applauding.jpg; Answer: Appreciation
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/161_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/162_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/163_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/164_applauding.jpg; Answer: Companionship
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/165_applauding.jpg; Answer: Festive and Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/166_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/167_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/168_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/169_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/170_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/171_applauding.jpg; Answer: Accomplished
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/172_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/173_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/174_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/175_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/176_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/177_applauding.jpg; Answer: Happiness and Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/178_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/179_applauding.jpg; Answer: Proud
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/180_applauding.jpg; Answer: Celebration
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/181_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/182_applauding.jpg; Answer: Reverent
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/183_applauding.jpg; Answer: Happy
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/184_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/185_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/186_applauding.jpg; Answer: Cheerful and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/187_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/188_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/189_applauding.jpg; Answer: Engaging
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/190_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/191_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/192_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/193_applauding.jpg; Answer: Appreciation
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/194_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/195_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/196_applauding.jpg; Answer: Introspective
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/197_applauding.jpg; Answer: Competitive
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/198_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/199_applauding.jpg; Answer: Appreciative
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/200_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/201_applauding.jpg; Answer: Cheerful and Relaxed
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/202_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/203_applauding.jpg; Answer: Proud
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/204_applauding.jpg; Answer: Anticipation and Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/205_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/206_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/207_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/208_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/209_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/210_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/211_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/212_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/213_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/214_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/215_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/216_applauding.jpg; Answer: Triumph
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/217_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/218_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/219_applauding.jpg; Answer: Contemplative
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/220_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/221_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/222_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/223_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/224_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/225_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/226_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/227_applauding.jpg; Answer: Triumphant
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/228_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/229_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/230_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/231_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/232_applauding.jpg; Answer: Serene
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/233_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/234_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/235_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/236_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/237_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/238_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/239_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/240_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/241_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/242_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/243_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/244_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/245_applauding.jpg; Answer: Determined
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/246_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/247_applauding.jpg; Answer: Joyful and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/248_applauding.jpg; Answer: Relaxed
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/249_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/250_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/251_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/252_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/253_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/254_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/255_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/256_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/257_applauding.jpg; Answer: Serious
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/258_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/259_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/260_applauding.jpg; Answer: Proud
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/261_applauding.jpg; Answer: Patriotic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/262_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/263_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/264_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/265_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/266_applauding.jpg; Answer: Joyful and Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/267_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/268_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/269_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/270_applauding.jpg; Answer: Happy and Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/271_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/272_applauding.jpg; Answer: Admiration
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/273_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/274_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/275_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/276_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/277_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/278_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/279_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/280_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/281_applauding.jpg; Answer: Focused
