Image file-/home/jovyan/data/stl10/test/0_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/412_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/425_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/431_7.png; Horse
Image file-/home/jovyan/data/stl10/test/432_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/434_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/443_7.png; Horse
Image file-/home/jovyan/data/stl10/test/449_7.png; Fence
Image file-/home/jovyan/data/stl10/test/461_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/475_7.png; Horse
Image file-/home/jovyan/data/stl10/test/478_7.png; Horse
Image file-/home/jovyan/data/stl10/test/498_7.png; Cart
Image file-/home/jovyan/data/stl10/test/500_7.png; Horse
Image file-/home/jovyan/data/stl10/test/504_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/513_7.png; Horse
Image file-/home/jovyan/data/stl10/test/528_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/545_7.png; Horse
Image file-/home/jovyan/data/stl10/test/554_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/559_7.png; Horse
Image file-/home/jovyan/data/stl10/test/578_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/580_7.png; Horse
Image file-/home/jovyan/data/stl10/test/599_7.png; Horse
Image file-/home/jovyan/data/stl10/test/607_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/629_7.png; Man
Image file-/home/jovyan/data/stl10/test/634_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/640_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/642_7.png; Horse
Image file-/home/jovyan/data/stl10/test/654_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/686_7.png; Horse
Image file-/home/jovyan/data/stl10/test/721_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/740_7.png; Horse
Image file-/home/jovyan/data/stl10/test/749_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/760_7.png; Horse
Image file-/home/jovyan/data/stl10/test/769_7.png; Horse
Image file-/home/jovyan/data/stl10/test/770_7.png; Horse
Image file-/home/jovyan/data/stl10/test/775_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/781_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/787_7.png; Horse
Image file-/home/jovyan/data/stl10/test/788_7.png; Horse
Image file-/home/jovyan/data/stl10/test/795_7.png; Horse
Image file-/home/jovyan/data/stl10/test/811_7.png; Horse
Image file-/home/jovyan/data/stl10/test/813_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/843_7.png; Horse
Image file-/home/jovyan/data/stl10/test/848_7.png; Foal
Image file-/home/jovyan/data/stl10/test/854_7.png; Horse
Image file-/home/jovyan/data/stl10/test/857_7.png; Horse
Image file-/home/jovyan/data/stl10/test/862_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/871_7.png; Horse
Image file-/home/jovyan/data/stl10/test/872_7.png; Rider
Image file-/home/jovyan/data/stl10/test/873_7.png; Horse
Image file-/home/jovyan/data/stl10/test/882_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/890_7.png; Fence
Image file-/home/jovyan/data/stl10/test/914_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/920_7.png; Horse
Image file-/home/jovyan/data/stl10/test/922_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/925_7.png; Horse
Image file-/home/jovyan/data/stl10/test/929_7.png; Horse
Image file-/home/jovyan/data/stl10/test/933_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/960_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/961_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/964_7.png; Horse
Image file-/home/jovyan/data/stl10/test/977_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/978_7.png; Horse
Image file-/home/jovyan/data/stl10/test/993_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/996_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1001_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1024_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1034_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1036_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1047_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1076_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1077_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1080_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1096_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1103_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1107_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1110_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1116_7.png; Answer: Horses
Image file-/home/jovyan/data/stl10/test/1118_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1121_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1143_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1153_7.png; Bucket
Image file-/home/jovyan/data/stl10/test/1154_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1157_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/1169_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1172_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1181_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1194_7.png; Knight
Image file-/home/jovyan/data/stl10/test/1200_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1207_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1215_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1217_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1226_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/1229_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1234_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1272_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1280_7.png; Sure! The main object in the image is:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1320_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1322_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1330_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1341_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1347_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1351_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1359_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1360_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1369_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1393_7.png; Answer: Horses
Image file-/home/jovyan/data/stl10/test/1433_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1435_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1454_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/1460_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/1467_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1470_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1476_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1477_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1478_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1481_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1492_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1506_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1526_7.png; Horses
Image file-/home/jovyan/data/stl10/test/1534_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1544_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1546_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1555_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1561_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1577_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1602_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1606_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1610_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1635_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1636_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1663_7.png; Answer: Pony
Image file-/home/jovyan/data/stl10/test/1664_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1667_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1673_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1680_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1691_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1704_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/1737_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1768_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1770_7.png; Donkey
Image file-/home/jovyan/data/stl10/test/1778_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1781_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1788_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1792_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1803_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1819_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1838_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1858_7.png; Fence
Image file-/home/jovyan/data/stl10/test/1863_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1882_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1890_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1906_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1908_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1912_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1918_7.png; Donkey
Image file-/home/jovyan/data/stl10/test/1923_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1925_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1931_7.png; Horse
Image file-/home/jovyan/data/stl10/test/1932_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/1939_7.png; Sure! Here\s my answer:\n\nPony
Image file-/home/jovyan/data/stl10/test/1944_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/1974_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2003_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2005_7.png; Foal
Image file-/home/jovyan/data/stl10/test/2013_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2014_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2029_7.png; Donkey
Image file-/home/jovyan/data/stl10/test/2067_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2068_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2071_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2096_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2103_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2107_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2120_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2136_7.png; Donkey
Image file-/home/jovyan/data/stl10/test/2142_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2146_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2163_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2183_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2187_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2197_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2199_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2201_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2218_7.png; Horses
Image file-/home/jovyan/data/stl10/test/2223_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2229_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2245_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2254_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2264_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2271_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2273_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2274_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2276_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2285_7.png; Sure! Here\s my answer:\n\nPony
Image file-/home/jovyan/data/stl10/test/2305_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2322_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2324_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2354_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2358_7.png; Answer: Man
Image file-/home/jovyan/data/stl10/test/2372_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2396_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2403_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2407_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2419_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2424_7.png; Gate
Image file-/home/jovyan/data/stl10/test/2430_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2444_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2462_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2464_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2473_7.png; Answer: Pony
Image file-/home/jovyan/data/stl10/test/2485_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2491_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2513_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2546_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2549_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2550_7.png; Foal
Image file-/home/jovyan/data/stl10/test/2558_7.png; Rider
Image file-/home/jovyan/data/stl10/test/2561_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2564_7.png; Knight
Image file-/home/jovyan/data/stl10/test/2565_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2566_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2585_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2598_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2602_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2610_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2624_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2631_7.png; Windmill
Image file-/home/jovyan/data/stl10/test/2636_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2647_7.png; Sure! Here\s my answer:\n\nAnswer: Pony
Image file-/home/jovyan/data/stl10/test/2648_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2658_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2670_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2676_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2680_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2698_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2723_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2724_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2726_7.png; Bull
Image file-/home/jovyan/data/stl10/test/2733_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2743_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2764_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2796_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2800_7.png; Bicycle
Image file-/home/jovyan/data/stl10/test/2803_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2811_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2817_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2829_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2833_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2837_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2843_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2855_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2859_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2863_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2864_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/2878_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2882_7.png; Bull
Image file-/home/jovyan/data/stl10/test/2897_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2912_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2928_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2943_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2953_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2958_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2962_7.png; Horse
Image file-/home/jovyan/data/stl10/test/2969_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/2973_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2984_7.png; Answer: Pony
Image file-/home/jovyan/data/stl10/test/2994_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/2998_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3006_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3011_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3026_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3046_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3055_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3062_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3087_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3088_7.png; Answer: Horses
Image file-/home/jovyan/data/stl10/test/3114_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3128_7.png; Answer: Woman
Image file-/home/jovyan/data/stl10/test/3137_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3141_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3145_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3167_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3175_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3182_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3183_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3191_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3193_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3201_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3203_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3218_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3221_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3233_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3235_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3239_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3259_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3267_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3292_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3356_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/3368_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3382_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3390_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3406_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3410_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3418_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3441_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3448_7.png; Answer: Pony
Image file-/home/jovyan/data/stl10/test/3460_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3464_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3474_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3475_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3476_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3494_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3498_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3501_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3505_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3513_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/3515_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3520_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3528_7.png; Foal
Image file-/home/jovyan/data/stl10/test/3549_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3587_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3610_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3611_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3616_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3617_7.png; Answer: Horses
Image file-/home/jovyan/data/stl10/test/3619_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3628_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3638_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3649_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3655_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3660_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3661_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3685_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3696_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3706_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3713_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3720_7.png; Answer: Woman
Image file-/home/jovyan/data/stl10/test/3738_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3739_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/3746_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3757_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3767_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3774_7.png; Answer: Horses
Image file-/home/jovyan/data/stl10/test/3777_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3779_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3792_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3802_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3811_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/3828_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3833_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3844_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3848_7.png; Knight
Image file-/home/jovyan/data/stl10/test/3895_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/3910_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3926_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/3958_7.png; Horse
Image file-/home/jovyan/data/stl10/test/3962_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/3963_7.png; Knight
Image file-/home/jovyan/data/stl10/test/3971_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/3988_7.png; Horse
Image file-/home/jovyan/data/stl10/test/4011_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/4027_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/4033_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/4035_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/4047_7.png; Horse
Image file-/home/jovyan/data/stl10/test/4055_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/4056_7.png; Horse
Image file-/home/jovyan/data/stl10/test/4068_7.png; Horse
